referrer,views_total,views_unique
Google,579,146
github.com,131,22
Bing,44,7
statics.teams.cdn.office.net,25,8
fastlanecrm.atlassian.net,25,1
confluence.iqos.ru,23,1
jamessimone.net,22,5
jongpie.github.io,19,4
grimaldi.my.salesforce.com,13,1
admin.salesforce.com,11,7
