time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-25 00:00:00+00:00,14,4,93,47
2025-05-26 00:00:00+00:00,13,5,612,160
2025-05-27 00:00:00+00:00,41,16,641,192
2025-05-28 00:00:00+00:00,15,6,629,184
2025-05-29 00:00:00+00:00,13,5,548,176
2025-05-30 00:00:00+00:00,129,27,463,163
2025-05-31 00:00:00+00:00,21,8,128,40
2025-06-01 00:00:00+00:00,13,6,67,32
2025-06-02 00:00:00+00:00,41,13,613,185
2025-06-03 00:00:00+00:00,21,10,605,239
2025-06-04 00:00:00+00:00,15,7,854,237
2025-06-05 00:00:00+00:00,13,7,769,222
2025-06-06 00:00:00+00:00,12,6,400,143
2025-06-07 00:00:00+00:00,2,2,101,31
