referrer,views_total,views_unique
Google,639,213
github.com,88,15
DuckDuckGo,45,10
nebulalogger.com,42,21
com.linkedin.android,39,9
jira.telekom.de,34,1
devstack.vwgroup.com,24,2
statics.teams.cdn.office.net,23,14
linkedin.com,22,15
com.google.android.gm,18,1
