referrer,views_total,views_unique
Google,1248,493
github.com,146,53
teams.public.onecdn.static.microsoft,117,41
nebulalogger.com,80,60
Bing,71,30
apexhours.com,49,8
jongpie.github.io,36,11
statics.teams.cdn.office.net,34,10
bydauto.my.salesforce-setup.com,24,3
github.platform.vwfs.io,21,1
