referrer,views_total,views_unique
Google,1173,355
github.com,164,29
nebulalogger.com,68,36
Bing,52,25
statics.teams.cdn.office.net,51,19
medium.com,28,10
jongpie.github.io,23,7
dhagovau--dhadev.sandbox.my.salesforce-setup.com,23,1
trailhead.salesforce.com,15,8
DuckDuckGo,13,5
