referrer,views_total,views_unique
Google,2158,721
github.com,223,78
Bing,129,54
statics.teams.cdn.office.net,125,67
nebulalogger.com,54,36
medium.com,49,12
apexhours.com,44,10
DuckDuckGo,33,8
jongpie.github.io,27,15
search.brave.com,20,7
