referrer,views_total,views_unique
Google,2019,400
github.com,349,40
linkedin.com,264,74
statics.teams.cdn.office.net,185,30
com.linkedin.android,87,25
Bing,71,22
sfservices.my.site.com,67,1
DuckDuckGo,46,8
jongpie.github.io,45,15
support.yamnet.com,42,1
