time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-12 00:00:00+00:00,11,11,455,155
2025-09-13 00:00:00+00:00,7,7,42,29
2025-09-14 00:00:00+00:00,7,7,174,50
2025-09-15 00:00:00+00:00,7,7,850,227
2025-09-16 00:00:00+00:00,22,16,834,227
2025-09-17 00:00:00+00:00,18,16,816,170
2025-09-18 00:00:00+00:00,34,18,691,191
2025-09-19 00:00:00+00:00,58,22,691,188
2025-09-20 00:00:00+00:00,23,11,81,23
2025-09-21 00:00:00+00:00,11,10,118,36
2025-09-22 00:00:00+00:00,17,12,699,187
2025-09-23 00:00:00+00:00,22,19,690,167
2025-09-24 00:00:00+00:00,26,14,829,190
2025-09-25 00:00:00+00:00,21,15,580,177
