time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-26 00:00:00+00:00,13.0,5.0,612,160
2025-05-27 00:00:00+00:00,41.0,16.0,641,192
2025-05-28 00:00:00+00:00,15.0,6.0,629,184
2025-05-29 00:00:00+00:00,13.0,5.0,548,176
2025-05-30 00:00:00+00:00,129.0,27.0,463,163
2025-05-31 00:00:00+00:00,21.0,8.0,128,40
2025-06-01 00:00:00+00:00,13.0,6.0,67,32
2025-06-02 00:00:00+00:00,41.0,13.0,613,185
2025-06-03 00:00:00+00:00,21.0,10.0,605,239
2025-06-04 00:00:00+00:00,15.0,7.0,854,237
2025-06-05 00:00:00+00:00,13.0,7.0,769,222
2025-06-06 00:00:00+00:00,12.0,6.0,400,143
2025-06-07 00:00:00+00:00,12.0,4.0,101,31
2025-06-08 00:00:00+00:00,,,99,33
