time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-08 00:00:00+00:00,32,18,350,125
2026-06-09 00:00:00+00:00,84,55,449,133
2026-06-10 00:00:00+00:00,54,24,228,117
2026-06-11 00:00:00+00:00,55,30,338,145
2026-06-12 00:00:00+00:00,61,32,452,136
2026-06-13 00:00:00+00:00,57,30,79,51
2026-06-14 00:00:00+00:00,108,39,164,35
2026-06-15 00:00:00+00:00,137,36,354,109
2026-06-16 00:00:00+00:00,201,49,378,103
2026-06-17 00:00:00+00:00,45,29,308,125
2026-06-18 00:00:00+00:00,59,25,511,135
2026-06-19 00:00:00+00:00,95,42,416,130
2026-06-20 00:00:00+00:00,185,46,73,21
2026-06-21 00:00:00+00:00,98,26,68,27
