time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-06-11 00:00:00+00:00,19,8,226,19
2023-06-12 00:00:00+00:00,17,7,258,90
2023-06-13 00:00:00+00:00,9,8,431,119
2023-06-14 00:00:00+00:00,9,9,575,113
2023-06-15 00:00:00+00:00,5,5,225,91
2023-06-16 00:00:00+00:00,5,5,357,85
2023-06-17 00:00:00+00:00,9,9,57,19
2023-06-18 00:00:00+00:00,3,3,49,14
2023-06-19 00:00:00+00:00,21,7,310,89
2023-06-20 00:00:00+00:00,16,6,458,103
2023-06-21 00:00:00+00:00,4,4,383,106
2023-06-22 00:00:00+00:00,12,9,543,111
2023-06-23 00:00:00+00:00,6,5,273,81
2023-06-24 00:00:00+00:00,2,2,18,12
