time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-08-11 00:00:00+00:00,5,4,771,129
2023-08-12 00:00:00+00:00,6,6,88,24
2023-08-13 00:00:00+00:00,5,5,175,32
2023-08-14 00:00:00+00:00,6,6,1133,127
2023-08-15 00:00:00+00:00,12,11,511,105
2023-08-16 00:00:00+00:00,4,4,969,137
2023-08-17 00:00:00+00:00,2,2,619,129
2023-08-18 00:00:00+00:00,15,6,325,98
2023-08-19 00:00:00+00:00,3,3,59,17
2023-08-20 00:00:00+00:00,5,4,99,55
2023-08-21 00:00:00+00:00,6,6,609,126
2023-08-22 00:00:00+00:00,10,9,772,135
2023-08-23 00:00:00+00:00,7,7,856,145
2023-08-24 00:00:00+00:00,13,3,665,121
