time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-11 00:00:00+00:00,7,7,827,184
2025-12-12 00:00:00+00:00,21,13,605,173
2025-12-13 00:00:00+00:00,21,11,63,31
2025-12-14 00:00:00+00:00,16,6,104,48
2025-12-15 00:00:00+00:00,16,12,541,177
2025-12-16 00:00:00+00:00,16,12,575,188
2025-12-17 00:00:00+00:00,38,19,418,155
2025-12-18 00:00:00+00:00,13,8,601,167
2025-12-19 00:00:00+00:00,24,17,554,155
2025-12-20 00:00:00+00:00,24,14,129,46
2025-12-21 00:00:00+00:00,15,10,174,37
2025-12-22 00:00:00+00:00,9,8,576,140
2025-12-23 00:00:00+00:00,17,12,419,124
2025-12-24 00:00:00+00:00,22,8,192,53
