time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-23 00:00:00+00:00,2.0,1.0,738,207
2025-01-24 00:00:00+00:00,1.0,1.0,454,118
2025-01-25 00:00:00+00:00,3.0,1.0,72,21
2025-01-26 00:00:00+00:00,,,123,31
2025-01-27 00:00:00+00:00,2.0,1.0,548,157
2025-01-28 00:00:00+00:00,2.0,2.0,555,170
2025-01-29 00:00:00+00:00,1.0,1.0,693,168
2025-01-30 00:00:00+00:00,7.0,6.0,547,155
2025-01-31 00:00:00+00:00,9.0,5.0,486,145
2025-02-01 00:00:00+00:00,8.0,5.0,183,39
2025-02-02 00:00:00+00:00,6.0,5.0,65,26
2025-02-03 00:00:00+00:00,19.0,10.0,635,187
2025-02-04 00:00:00+00:00,10.0,8.0,849,208
2025-02-05 00:00:00+00:00,21.0,8.0,715,203
