time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-08-24 00:00:00+00:00,15,5,712,122
2023-08-25 00:00:00+00:00,5,5,517,136
2023-08-26 00:00:00+00:00,2,2,75,17
2023-08-27 00:00:00+00:00,7,5,76,24
2023-08-28 00:00:00+00:00,8,8,689,113
2023-08-29 00:00:00+00:00,9,7,1063,145
2023-08-30 00:00:00+00:00,7,6,559,128
2023-08-31 00:00:00+00:00,11,7,274,97
2023-09-01 00:00:00+00:00,4,4,375,114
2023-09-02 00:00:00+00:00,5,5,83,29
2023-09-03 00:00:00+00:00,4,4,49,19
2023-09-04 00:00:00+00:00,4,4,729,120
2023-09-05 00:00:00+00:00,15,6,946,173
2023-09-06 00:00:00+00:00,12,8,509,154
