"Problem","File","Severity","Line","Column","Rule","Description","URL","Category","Engine"
"125","/Users/jloghry/workspace/NebulaLogger/nebula-logger/main/logger-engine/classes/Logger.cls","3","2736","21","ApexDoc","Missing ApexDoc comment","https://pmd.github.io/pmd-6.36.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"126","/Users/jloghry/workspace/NebulaLogger/nebula-logger/main/logger-engine/classes/Logger.cls","3","2762","24","ApexDoc","Missing ApexDoc comment","https://pmd.github.io/pmd-6.36.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"127","/Users/jloghry/workspace/NebulaLogger/nebula-logger/main/logger-engine/classes/Logger.cls","3","2763","30","ApexDoc","Missing ApexDoc comment","https://pmd.github.io/pmd-6.36.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"128","/Users/jloghry/workspace/NebulaLogger/nebula-logger/main/logger-engine/classes/Logger.cls","3","2776","35","ApexDoc","Missing ApexDoc @description","https://pmd.github.io/pmd-6.36.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"129","/Users/jloghry/workspace/NebulaLogger/nebula-logger/main/logger-engine/classes/Logger.cls","1","2777","30","FieldNamingConventions","The final field name 'HEX_CHARACTERS' doesn't match '[a-z][a-zA-Z0-9]*'","https://pmd.github.io/pmd-6.36.0/pmd_rules_apex_codestyle.html#fieldnamingconventions","Code Style","pmd"
"130","/Users/jloghry/workspace/NebulaLogger/nebula-logger/main/logger-engine/classes/Logger.cls","1","2778","30","FieldNamingConventions","The final field name 'HEX_PREFIX' doesn't match '[a-z][a-zA-Z0-9]*'","https://pmd.github.io/pmd-6.36.0/pmd_rules_apex_codestyle.html#fieldnamingconventions","Code Style","pmd"
"131","/Users/jloghry/workspace/NebulaLogger/nebula-logger/main/logger-engine/classes/Logger.cls","1","2779","36","FieldNamingConventions","The final field name 'HEX_CHARACTER_LIST' doesn't match '[a-z][a-zA-Z0-9]*'","https://pmd.github.io/pmd-6.36.0/pmd_rules_apex_codestyle.html#fieldnamingconventions","Code Style","pmd"
"132","/Users/jloghry/workspace/NebulaLogger/nebula-logger/main/logger-engine/classes/Logger.cls","1","2780","31","FieldNamingConventions","The final field name 'UUID_V4_LENGTH' doesn't match '[a-z][a-zA-Z0-9]*'","https://pmd.github.io/pmd-6.36.0/pmd_rules_apex_codestyle.html#fieldnamingconventions","Code Style","pmd"
"133","/Users/jloghry/workspace/NebulaLogger/nebula-logger/main/logger-engine/classes/Logger.cls","1","2781","30","FieldNamingConventions","The final field name 'UUID_V4_REGEX' doesn't match '[a-z][a-zA-Z0-9]*'","https://pmd.github.io/pmd-6.36.0/pmd_rules_apex_codestyle.html#fieldnamingconventions","Code Style","pmd"
"134","/Users/jloghry/workspace/NebulaLogger/nebula-logger/main/logger-engine/classes/Logger.cls","3","2785","16","ApexDoc","Missing ApexDoc comment","https://pmd.github.io/pmd-6.36.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"135","/Users/jloghry/workspace/NebulaLogger/nebula-logger/main/logger-engine/classes/Logger.cls","3","2789","23","ApexDoc","Missing ApexDoc comment","https://pmd.github.io/pmd-6.36.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"136","/Users/jloghry/workspace/NebulaLogger/nebula-logger/main/plugin-framework/classes/LoggerParameter.cls","3","11","14","CognitiveComplexity","The class 'LoggerParameter' has a total cognitive complexity of 50 (highest 8), current threshold is 50","https://pmd.github.io/pmd-6.36.0/pmd_rules_apex_design.html#cognitivecomplexity","Design","pmd"
"137","/Users/jloghry/workspace/NebulaLogger/nebula-logger/main/plugin-framework/classes/LoggerParameter.cls","3","11","14","CyclomaticComplexity","The class 'LoggerParameter' has a total cyclomatic complexity of 71 (highest 6).","https://pmd.github.io/pmd-6.36.0/pmd_rules_apex_design.html#cyclomaticcomplexity","Design","pmd"
"138","/Users/jloghry/workspace/NebulaLogger/nebula-logger/main/plugin-framework/classes/LoggerParameter.cls","3","11","14","ExcessivePublicCount","This class has a bunch of public methods and attributes","https://pmd.github.io/pmd-6.36.0/pmd_rules_apex_design.html#excessivepubliccount","Design","pmd"
"139","/Users/jloghry/workspace/NebulaLogger/nebula-logger/main/plugin-framework/classes/LoggerParameter.cls","1","18","35","PropertyNamingConventions","The static property name 'Handler' doesn't match '[a-z][a-zA-Z0-9]*'","https://pmd.github.io/pmd-6.36.0/pmd_rules_apex_codestyle.html#propertynamingconventions","Code Style","pmd"
"140","/Users/jloghry/workspace/NebulaLogger/nebula-logger/main/plugin-framework/classes/LoggerParameter.cls","1","18","35","VariableNamingConventions","Variables should start with a lowercase character, 'Handler' starts with uppercase character.","https://pmd.github.io/pmd-6.36.0/pmd_rules_apex_codestyle.html#variablenamingconventions","Code Style","pmd"
"141","/Users/jloghry/workspace/NebulaLogger/nebula-logger/main/plugin-framework/classes/LoggerParameter.cls","1","31","35","PropertyNamingConventions","The static property name 'Plugin' doesn't match '[a-z][a-zA-Z0-9]*'","https://pmd.github.io/pmd-6.36.0/pmd_rules_apex_codestyle.html#propertynamingconventions","Code Style","pmd"
"142","/Users/jloghry/workspace/NebulaLogger/nebula-logger/main/plugin-framework/classes/LoggerParameter.cls","1","31","35","VariableNamingConventions","Variables should start with a lowercase character, 'Plugin' starts with uppercase character.","https://pmd.github.io/pmd-6.36.0/pmd_rules_apex_codestyle.html#variablenamingconventions","Code Style","pmd"
"143","/Users/jloghry/workspace/NebulaLogger/nebula-logger/main/plugin-framework/classes/LoggerParameter.cls","3","489","19","ApexDoc","Missing ApexDoc comment","https://pmd.github.io/pmd-6.36.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"144","/Users/jloghry/workspace/NebulaLogger/nebula-logger/main/plugin-framework/classes/LoggerParameter.cls","3","506","25","ApexDoc","Missing ApexDoc comment","https://pmd.github.io/pmd-6.36.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"145","/Users/jloghry/workspace/NebulaLogger/nebula-logger/main/plugin-framework/classes/LoggerSObjectHandlerPlugin.cls","3","17","12","EmptyStatementBlock","Avoid empty block statements.","https://pmd.github.io/pmd-6.36.0/pmd_rules_apex_errorprone.html#emptystatementblock","Error Prone","pmd"
"146","/Users/jloghry/workspace/NebulaLogger/nebula-logger/main/plugin-framework/classes/LoggerSObjectHandlerPlugin.cls","3","32","26","ExcessiveParameterList","Avoid long parameter lists.","https://pmd.github.io/pmd-6.36.0/pmd_rules_apex_design.html#excessiveparameterlist","Design","pmd"

