time_iso8601,stars_cumulative
2022-02-23 00:00:00+00:00,183
2022-02-24 00:00:00+00:00,184
2022-02-25 00:00:00+00:00,185
2022-02-27 00:00:00+00:00,186
2022-02-28 00:00:00+00:00,187
2022-03-06 00:00:00+00:00,188
2022-03-07 00:00:00+00:00,189
2022-03-13 00:00:00+00:00,190
2022-03-14 00:00:00+00:00,191
2022-03-15 00:00:00+00:00,192
2022-03-21 00:00:00+00:00,194
2022-03-23 00:00:00+00:00,195
2022-03-25 00:00:00+00:00,196
2022-04-01 00:00:00+00:00,197
2022-04-04 00:00:00+00:00,198
2022-04-05 00:00:00+00:00,201
2022-04-06 00:00:00+00:00,206
2022-04-07 00:00:00+00:00,207
2022-04-08 00:00:00+00:00,209
2022-04-09 00:00:00+00:00,210
2022-04-16 00:00:00+00:00,211
2022-04-19 00:00:00+00:00,212
2022-04-28 00:00:00+00:00,213
2022-05-03 00:00:00+00:00,214
2022-05-07 00:00:00+00:00,215
2022-05-16 00:00:00+00:00,216
2022-05-19 00:00:00+00:00,217
2022-05-24 00:00:00+00:00,218
2022-05-26 00:00:00+00:00,219
2022-05-27 00:00:00+00:00,221
2022-06-01 00:00:00+00:00,222
2022-06-02 00:00:00+00:00,223
2022-06-06 00:00:00+00:00,225
2022-06-09 00:00:00+00:00,226
2022-06-13 00:00:00+00:00,227
2022-06-20 00:00:00+00:00,228
2022-06-21 00:00:00+00:00,229
2022-06-23 00:00:00+00:00,230
2022-06-25 00:00:00+00:00,231
2022-06-26 00:00:00+00:00,232
2022-06-28 00:00:00+00:00,233
2022-06-29 00:00:00+00:00,234
2022-06-30 00:00:00+00:00,235
2022-07-11 00:00:00+00:00,236
2022-07-13 00:00:00+00:00,237
2022-07-18 00:00:00+00:00,238
2022-07-19 00:00:00+00:00,239
2022-07-30 00:00:00+00:00,240
2022-08-01 00:00:00+00:00,241
2022-08-10 00:00:00+00:00,242
2022-08-11 00:00:00+00:00,243
2022-08-12 00:00:00+00:00,244
2022-08-16 00:00:00+00:00,245
2022-08-18 00:00:00+00:00,246
2022-08-19 00:00:00+00:00,247
2022-08-22 00:00:00+00:00,248
2022-08-26 00:00:00+00:00,249
2022-09-01 00:00:00+00:00,250
2022-09-12 00:00:00+00:00,251
2022-09-14 00:00:00+00:00,253
2022-09-15 00:00:00+00:00,254
2022-09-19 00:00:00+00:00,256
2022-09-20 00:00:00+00:00,259
