time_iso8601,forks_cumulative
2025-04-15 00:00:00+00:00,180
2025-04-17 00:00:00+00:00,181
2025-04-27 00:00:00+00:00,182
2025-05-11 00:00:00+00:00,183
2025-05-13 00:00:00+00:00,184
2025-05-18 00:00:00+00:00,185
2025-05-20 00:00:00+00:00,186
2025-05-23 00:00:00+00:00,187
2025-05-30 00:00:00+00:00,188
2025-06-07 00:00:00+00:00,189
2025-06-12 00:00:00+00:00,190
2025-06-18 00:00:00+00:00,191
2025-06-21 00:00:00+00:00,192
2025-06-23 00:00:00+00:00,193
2025-06-25 00:00:00+00:00,194
2025-06-29 00:00:00+00:00,195
2025-08-02 00:00:00+00:00,196
2025-08-05 00:00:00+00:00,197
2025-08-06 00:00:00+00:00,198
2025-08-12 00:00:00+00:00,199
2025-08-20 00:00:00+00:00,200
2025-09-05 00:00:00+00:00,201
2025-09-09 00:00:00+00:00,202
2025-09-18 00:00:00+00:00,203
2025-09-21 00:00:00+00:00,204
2025-09-22 00:00:00+00:00,205
2025-10-03 00:00:00+00:00,206
2025-11-11 00:00:00+00:00,207
2025-11-14 00:00:00+00:00,208
2025-11-18 00:00:00+00:00,209
2025-11-19 00:00:00+00:00,210
2025-11-20 00:00:00+00:00,211
